Tahun,Jumlah Penduduk,Laju Pertumbuhan Penduduk (%)
2000,2000.87,0.99
2001,2022.25,0.99
2002,2044.07,0.99
2003,2127.82,1.24
2004,2154.23,1.24
2005,2121.0,-1.54
2006,2160.6,1.87
2007,2186.8,1.21
2008,2208.0,0.97
2009,2228.86,0.94
2010,2270.6,1.41
2011,2296.7,1.15
2012,2319.9,1.01
2013,2360.4,1.74
2014,2386.6,1.11
2015,2412.1,1.07
2016,2436.9,1.03
2017,2461.0,1.11
2018,2484.4,1.09
2019,2507.0,1.01
2020,2621.92,1.4
2021,2638.63,0.85
2022,2659.54,0.82
2023,2681.54,0.82
2024,2701.78,0.8
2025,2721.44,0.79
